[['c_000000000699', 'polyA_site_00001_+_readcount_1', 'FUN_006903', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00002_+_readcount_1', 'ORF_000003', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00003_+_readcount_1', 'ORF_000007', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00004_+_readcount_1', 'ORF_000007', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00005_+_readcount_27', 'ORF_000007', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00009_+_readcount_2', 'ORF_000015', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00010_+_readcount_1', 'ORF_000017-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00011_+_readcount_14', 'ORF_000017-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00012_+_readcount_6', 'ORF_000018', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00013_+_readcount_58', 'ORF_000018', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00014_+_readcount_3', 'ORF_000020', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00015_+_readcount_4', 'ORF_000022', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00016_+_readcount_3', 'ORF_000023', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00017_+_readcount_6', 'ORF_000024', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00018_+_readcount_4', 'ORF_000029', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00022_+_readcount_10', 'ORF_000033', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00023_+_readcount_1', 'ORF_000036', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00024_+_readcount_2', 'ORF_000037-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00025_+_readcount_4', 'ORF_000041', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00026_+_readcount_3', 'ORF_000042', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00027_+_readcount_1', 'ORF_000042', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00028_+_readcount_2', 'ORF_000043', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00030_+_readcount_1', 'ORF_000049', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00032_+_readcount_7', 'ORF_000052-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00033_+_readcount_2', 'ORF_000054', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00035_+_readcount_1', 'ORF_000058', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00038_+_readcount_3', 'ORF_000063', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00040_+_readcount_1', 'ORF_000065', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00041_+_readcount_1', 'ORF_000066', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00042_+_readcount_5', 'ORF_000066', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00043_+_readcount_16', 'ORF_000068', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00047_+_readcount_1', 'ORF_000077', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00048_+_readcount_45', 'ORF_000080', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00049_+_readcount_2', 'ORF_000081', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00051_+_readcount_17', 'ORF_000090', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00052_+_readcount_1', 'ORF_000089', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00053_+_readcount_1', 'ORF_000094', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00054_+_readcount_6', 'ORF_000095', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00055_+_readcount_75', 'ORF_000095', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00056_+_readcount_7', 'ORF_000098', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00057_+_readcount_10', 'ORF_000100', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00059_+_readcount_8', 'ORF_000105', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00060_+_readcount_1', 'ORF_000108', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00061_+_readcount_1', 'ORF_000112', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00062_+_readcount_8', 'ORF_000113', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00063_+_readcount_3', 'ORF_000114', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00064_+_readcount_7', 'ORF_000117', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00065_+_readcount_116', 'ORF_000118', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00067_+_readcount_1', 'ORF_000124', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00068_+_readcount_21', 'ORF_000125', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00069_+_readcount_1', 'ORF_000125', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00070_+_readcount_2', 'ORF_000128', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00071_+_readcount_52', 'ORF_000131', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00072_+_readcount_2', 'ORF_000131', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00073_+_readcount_29', 'ORF_000134', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00074_+_readcount_2', 'ORF_000135', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00075_+_readcount_58', 'ORF_000137', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00076_+_readcount_4', 'ORF_000138', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00077_+_readcount_3', 'ORF_000138', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00081_+_readcount_1', 'ORF_000154', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00082_+_readcount_6', 'ORF_000158', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00084_+_readcount_1', 'ORF_000162', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00085_+_readcount_3', 'ORF_000163', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00086_+_readcount_1', 'ORF_000163', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00087_+_readcount_1', 'ORF_000164', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00094_+_readcount_4', 'ORF_000181', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00095_+_readcount_53', 'ORF_000184-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00096_+_readcount_2', 'ORF_000185', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00097_+_readcount_1', 'ORF_000185', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00098_+_readcount_6', 'ORF_000186', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00099_+_readcount_1', 'ORF_000186', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00100_+_readcount_1', 'ORF_000187', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00101_+_readcount_10', 'ORF_000191', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00102_+_readcount_2', 'ORF_000191', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00108_+_readcount_10', 'ORF_000204', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00109_+_readcount_1', 'ORF_000205', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00110_+_readcount_4', 'ORF_000209', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00111_+_readcount_13', 'ORF_000212', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00112_+_readcount_2', 'ORF_000212', '+', 'yes'],
