[['c_000000000699', 'polyA_site_00001_+_readcount_1', 'FUN_006903', '+'],
 ['c_000000000699', 'polyA_site_00002_+_readcount_1', 'ORF_000003', '+'],
 ['c_000000000699', 'polyA_site_00003_+_readcount_1', 'ORF_000007', '+'],
 ['c_000000000699', 'polyA_site_00004_+_readcount_1', 'ORF_000007', '+'],
 ['c_000000000699', 'polyA_site_00005_+_readcount_27', 'ORF_000007', '+'],
 ['c_000000000699', 'polyA_site_00009_+_readcount_2', 'ORF_000015', '+'],
 ['c_000000000699', 'polyA_site_00010_+_readcount_1', 'ORF_000017-b', '+'],
 ['c_000000000699', 'polyA_site_00011_+_readcount_14', 'ORF_000017-b', '+'],
 ['c_000000000699', 'polyA_site_00012_+_readcount_6', 'ORF_000018', '+'],
 ['c_000000000699', 'polyA_site_00013_+_readcount_58', 'ORF_000018', '+'],
 ['c_000000000699', 'polyA_site_00014_+_readcount_3', 'ORF_000020', '+'],
 ['c_000000000699', 'polyA_site_00016_+_readcount_3', 'ORF_000023', '+'],
 ['c_000000000699', 'polyA_site_00018_+_readcount_4', 'ORF_000029', '+'],
 ['c_000000000699', 'polyA_site_00022_+_readcount_10', 'ORF_000033', '+'],
 ['c_000000000699', 'polyA_site_00024_+_readcount_2', 'ORF_000037-b', '+'],
 ['c_000000000699', 'polyA_site_00025_+_readcount_4', 'ORF_000041', '+'],
 ['c_000000000699', 'polyA_site_00026_+_readcount_3', 'ORF_000042', '+'],
 ['c_000000000699', 'polyA_site_00027_+_readcount_1', 'ORF_000042', '+'],
 ['c_000000000699', 'polyA_site_00028_+_readcount_2', 'ORF_000043', '+'],
 ['c_000000000699', 'polyA_site_00030_+_readcount_1', 'ORF_000049', '+'],
 ['c_000000000699', 'polyA_site_00032_+_readcount_7', 'ORF_000052-b', '+'],
 ['c_000000000699', 'polyA_site_00033_+_readcount_2', 'ORF_000054', '+'],
 ['c_000000000699', 'polyA_site_00035_+_readcount_1', 'ORF_000058', '+'],
 ['c_000000000699', 'polyA_site_00038_+_readcount_3', 'ORF_000063', '+'],
 ['c_000000000699', 'polyA_site_00040_+_readcount_1', 'ORF_000065', '+'],
 ['c_000000000699', 'polyA_site_00041_+_readcount_1', 'ORF_000066', '+'],
 ['c_000000000699', 'polyA_site_00042_+_readcount_5', 'ORF_000066', '+'],
 ['c_000000000699', 'polyA_site_00043_+_readcount_16', 'ORF_000068', '+'],
 ['c_000000000699', 'polyA_site_00047_+_readcount_1', 'ORF_000077', '+'],
 ['c_000000000699', 'polyA_site_00048_+_readcount_45', 'ORF_000080', '+'],
 ['c_000000000699', 'polyA_site_00049_+_readcount_2', 'ORF_000081', '+'],
 ['c_000000000699', 'polyA_site_00051_+_readcount_17', 'ORF_000090', '+'],
 ['c_000000000699', 'polyA_site_00053_+_readcount_1', 'ORF_000094', '+'],
 ['c_000000000699', 'polyA_site_00054_+_readcount_6', 'ORF_000095', '+'],
 ['c_000000000699', 'polyA_site_00055_+_readcount_75', 'ORF_000095', '+'],
 ['c_000000000699', 'polyA_site_00056_+_readcount_7', 'ORF_000098', '+'],
 ['c_000000000699', 'polyA_site_00057_+_readcount_10', 'ORF_000100', '+'],
 ['c_000000000699', 'polyA_site_00059_+_readcount_8', 'ORF_000105', '+'],
 ['c_000000000699', 'polyA_site_00060_+_readcount_1', 'ORF_000108', '+'],
 ['c_000000000699', 'polyA_site_00061_+_readcount_1', 'ORF_000112', '+'],
 ['c_000000000699', 'polyA_site_00062_+_readcount_8', 'ORF_000113', '+'],
 ['c_000000000699', 'polyA_site_00064_+_readcount_7', 'ORF_000117', '+'],
 ['c_000000000699', 'polyA_site_00065_+_readcount_116', 'ORF_000118', '+'],
 ['c_000000000699', 'polyA_site_00067_+_readcount_1', 'ORF_000124', '+'],
 ['c_000000000699', 'polyA_site_00068_+_readcount_21', 'ORF_000125', '+'],
 ['c_000000000699', 'polyA_site_00069_+_readcount_1', 'ORF_000125', '+'],
