 ['c_000000000699', 'polyA_site_00006_+_readcount_7', 'ORF_000009', '+', 'no'],
 ['c_000000000699', 'polyA_site_00007_+_readcount_3', 'ORF_000011', '+', 'no'],
 ['c_000000000699', 'polyA_site_00008_+_readcount_16', 'ORF_000011-c', '+', 'no'],
 ['c_000000000699', 'polyA_site_00019_+_readcount_2', 'ORF_000029-b', '+', 'no'],
 ['c_000000000699', 'polyA_site_00020_+_readcount_2', 'ORF_000031', '+', 'no'],
 ['c_000000000699', 'polyA_site_00029_+_readcount_1', 'ORF_000044', '+', 'no'],
 ['c_000000000699', 'polyA_site_00031_+_readcount_1', 'ORF_000050', '+', 'no'],
 ['c_000000000699', 'polyA_site_00036_+_readcount_1', 'ORF_000059', '+', 'no'],
 ['c_000000000699', 'polyA_site_00037_+_readcount_27', 'ORF_000061-b', '+', 'no'],
 ['c_000000000699', 'polyA_site_00039_+_readcount_1', 'ORF_000063-b', '+', 'no'],
 ['c_000000000699', 'polyA_site_00044_+_readcount_6', 'ORF_000069-b', '+', 'no'],
 ['c_000000000699', 'polyA_site_00045_+_readcount_2', 'ORF_000073', '+', 'no'],
 ['c_000000000699', 'polyA_site_00046_+_readcount_2', 'ORF_000074-a', '+', 'no'],
 ['c_000000000699', 'polyA_site_00050_+_readcount_1', 'ORF_000083-b', '+', 'no'],
 ['c_000000000699', 'polyA_site_00058_+_readcount_3', 'ORF_000100-c', '+', 'no'],
 ['c_000000000699', 'polyA_site_00066_+_readcount_6', 'ORF_000120', '+', 'no'],
 ['c_000000000699', 'polyA_site_00078_+_readcount_1', 'ORF_000141', '+', 'no'],
 ['c_000000000699', 'polyA_site_00079_+_readcount_1', 'ORF_000148-c', '+', 'no'],
 ['c_000000000699', 'polyA_site_00080_+_readcount_2', 'ORF_000152', '+', 'no'],
 ['c_000000000699', 'polyA_site_00083_+_readcount_5', 'ORF_000160-c', '+', 'no'],
 ['c_000000000699', 'polyA_site_00090_+_readcount_1', 'ORF_000172-a', '+', 'no'],
 ['c_000000000699', 'polyA_site_00092_+_readcount_2', 'ORF_000176', '+', 'no'],
 ['c_000000000699', 'polyA_site_00103_+_readcount_10', 'ORF_000193', '+', 'no'],
 ['c_000000000699', 'polyA_site_00105_+_readcount_10', 'ORF_000197', '+', 'no'],
 ['c_000000000699', 'polyA_site_00106_+_readcount_4', 'ORF_000201', '+', 'no'],
 ['c_000000000699', 'polyA_site_00107_+_readcount_1', 'ORF_000201-b', '+', 'no'],
